text,label
Billiger als bei uns in Österreich. Im Angebot gekauft :),2
Hochwertig und sehr praktisch. Getränke sind eben nach 6 oder 7 Stunden ziemlich heiß. Ich bin sehr zufrieden mit diesem Kauf.,0
"Hält den Kaffee heiß, absolut sicht, hygienische Öffnung. Auch wenn man den Verschuß entfernt, hält der Tee sehr lange warm und man kann ihn, ohne den Deckel auf und zu machen zu müssen, lange heiss genießen.Angenehme Oberfläche, die leicht stumpf ist und damit griffig.Klare Kaufempfehlung!",1
"An sich war der Thermosbecher nicht schlecht, allerdings ist bei mir der Lack abgesprungen und leicht zu säubern fand ich ihn auch nicht (ich habe keine Spülmaschine). Man kommt trotzdem nicht an alle Ecken des Becherdeckels heran. Dementsprechend schmeckte der Kaffee dann irgendwann auch.",2
"210 ml? Nicht mal annähernd! Ich muss meine Melitta Caffeo CI auf 150 ml einstellen, damit der angeblich 100% auslaufsichere Deckel mit Klickverschluss anständig drauf passt und den Kaffee nicht an den Seiten heraus drückt. Wenn ich trinke, läuft an den Seiten, an denen die Mundöffnung nicht sitzt, Kaffee heraus. Das Teil ist einfach nur brauchbar, wenn man den Behälter auf der Arbeit auch unter eine Maschine stellen möchte.",0
"Wir haben schon viele andere Tabs verwendet und fahren mit den Somat Gold am besten. Sauberes Geschirr, keine Rückstände, keine Gerüche, alles super.",2
"Für meinen Zweck die beste. Das Problem das ich hatte war das ich den Thermos-Becher für die Halterung eines VW Transporters bräuchte. Dort ist leider nur begrenzt Platz zur Frontscheibe und ich wollte unbedingt 0,5 L Fassungsvermögen. Alle anderen sind viel zu hoch oder zu breit und passen nicht in drn Getränkehalter. Aber dieser hier hat das große Volumen erst oben, passt also perfekt in die Halterung. Sie sieht immer noch top aus. Von innen hat sie keinerlei Verfärbungen obwohl ich sie jeden Tag benutze und mir mein Schwarztee koche. Die Vorgänger hatten nach 2 Wochen schon Verfärbungen. Die Qualität ist wirklich gut. Es passt sogar etwas mehr als ein halber Liter rein. Einzig alleine der Verschluss ist nicht besonders gut durchdacht, da es nur 2 Öffnungen gibt und man auch nur an diesen Stellen trinken kann. Aber die sind immer an der gleichen Stelle nach dem zuschrauben und durch den Sticker kann man sich gut die Positionierung merken. Falls die noch so'n Knopfdeckel-Verschluss hätte wäre sie noch perfekter.Klare Kaufempfehlung von mir!!!!!",0
Das Waschmittel benutze ich für sämtliche Kleidung . Die Farben leuchten nach dem Waschen wieder schön. Es riecht angenehm und nicht aufdringlich. Es langt schon eine kleine Menge an Pulver um ein sauberes Wäscheergebnis zu erhalten. Ich als Allergiker vertrage das Waschmittel sehr gut. Zudem wird es direkt nach Hause geliefert was ich sehr schätze.  Die Lieferung erfolgt immer schnell,0
"Ein tolles Teil! Endlich Mal ein Thermobecher,der gut aussieht und seinem Namen alle Ehre macht. Er hält bis zu vier Stunden heiß und auch noch länger. Ich würde ihn jederzeit wieder kaufen.",2
Wie kann man nur Lebensmittel mit Waschmittel zusammen verschickken??,0
