text,label
Für mich bisher das beste Maschinen-Spülmittel.,0
"Sehr schöner Becher. Größe M für eine Tasse Kaffee mit Milch mehr als ausreichend.  Läuft nicht aus und hält super warm. Wurde geinfluenzt,  muss sagen, hat sich gelohnt!!!",0
"Da es ein Geschenk ist, konnte ich es nur mal mit heißem Wasser testen.  Zum vergleich daneben in einer normalen Tasse, die selbe Menge heißes  Wasser und nach einiger Zeit war es in der Tasse kalt und im Becher noch sehr warm. Also macht er genau das was er soll. Das Schraubsytem vom Deckel könnte noch etwas besser sein, aber derweil hält er ! Für den Preis ist das Produkt vollkommen in Ordnung.",0
"Hält wie versprochen 6 h warm. Auslaufsicher. Deckelinnenteil lässt sich sehr gut rausdrehen. Lediglich beim Abdrehen des Deckels vom Behälter braucht man manchmal ein wenig mehr Kraft, da beide Teile komplett rund sind und man keinen richtigen Ansatzpunkt hat.",0
"Bin jahrelange persil kundin...hat man erst mal ein Schnäppchen ausgemacht, möchte man es nicht mehr missen. ..Ich rechne allerdings immer die Preise gegen! ...und wenn es passt -wird bestellt.  Geruch und Waschkraft sind für mich ausschlaggebend. Stimmt auch noch der Preis, bin ich ein Abo-Freak und alles is für die zukünftige schmutzige Wäsche gesichert.",0
Alles zu meiner Zufriedenheit. Klare Empfehlung,0
Selbst ohne Klarspüler immer ein super Ergebnis und quasi geruchlos.,0
erfüllen ihren Zweck,0
"Das ist ein schöner Isolierbecher von Emsa.Man kann gut daraus trinken und restliche Tropfen laufen wieder zurück.Danach drehe ich den Verschluss wieder zu und er hält dicht.Leider hält er nur drei Stunden heiss.Wenn ich um halb Acht in der Firma heissen Kaffee einfülle, ist er um Mittagnur noch gerade so warm.Ich habe andere Isolierbecher die länger heiss haltenund gebe nur knappe vier Sterne.",0
erstmal ein grandioser Becher! angenehmes trinkgefühl und das getränk bleibt wirklich über stunden hinweg heiß. nicht warm sondern wie frisch eingefüllt heiß.das Design ist mehr als schön auch in der Stahloptik und der Deckel ist super zu reinigen durch die Schraubmöglichkeit.Leider war mein Deckel ein Produktionsfehler und der Klickmechanismus funktionierte nicht einwandfrei. Der Kundenservice war aber ab der Bestellung perfekt. Sehr freundlich kompetent und entgegenkommend.neuer Deckel ohne zusätzliche Kosten zugesichert bekommen und sogar einen Nachlass für die Unannehmlichkeiten erhalten nun freue ich mich das ich den Becher weiter nutzen kann sobald der neue Deckel ankommt!Top und gerne wieder!,0
"Schnelle Lieferung und Top Ware, Top Preis, wirklich Dicht, kann gefüllt bequem in die Tasche und super Nachhaltig",0
"Läuft nicht aus!Hält super lange kalt, nur warm nicht so aber das ist nicht so dramatisch.",0
Hier greife ich lieber zum Markenprodukt. Günstige Alternativen haben mich bisher immer enttäuscht. Der Stab löst sich zu 100% auf und das Reinigungsergebnis ist super.,0
wie immer gut,0
"Leider schließt der Deckel nicht 100% ab, es ist ein kleiner Spalt (1mm) zwischen Deckel und Becher. Wenn man ihn runter drückt ist er zu sobald man loslässt ist der mm Spalt wieder da. Auch ist er oben an der Trinköffnung nicht 100% dicht. Ich hatte bereits Kaffee in meiner Handtsche, es kam aus der Trinköffnung. Der Becher hält die Wärme etwa 45-60 min danach ist es nur noch lau… schade eigentlich",0
Hab den Becher für meine Frau gekauft. Die benutzt ihn fast täglich weil sie viel mit dem Auto unterwegs ist.Kann also Kaufempfehlung aussprechen.,0
Selbst nach 24 Stunden noch heißes Wasser. Bin mega begeistert.  Sie läuft auch nicht aus. Ist ihren Preis total wert,0
"Meine Tante darf sich um eine 4-Köpfige Familie kümmern und da fällt eine MEEEEEEEEEEEEEEENGE Wäsche an.Also habe ich Ihr die 8 kg Ariel Colorwaschmittel Pulver bestellt, damit Sie noch mitkommt und wir wollten einfach mal eine neue Marke ausprobieren.Was ich vor allem bereits im Voraus positiv anmerken möchte ist, dass SELBST DAS PAKET in welchem das Waschmittel kam frisch und duftend gerochen hat und das obwohl alles gut verschlossen und verschweißt zu uns angekommen ist.Hier schon einmal einen großen Pluspunkt, denn bei Marke XYZ welche wir vorher bestellt haben - Aufgrund der Amazon Richtlinien, darf ich hier keine Marken negativ benennen -  ist es so gewesen, dass das Paket nach totem Waschbär gerochen hat.Hier war es das Gegenteil und ich war super zufrieden damit.Kommen wir nun aber zur Rezension.Verpackung:Die 8Kg Verpackung ist eine klassisches Ariel Verpackung, mit dem differenzierten Unterschied, dass ich im Vergleich zum Handel hier gute 4 € spare, als wenn ich es im Laden kaufe.Die Schachtel kam ohne Risse oder sonstige Schäden an, aber leider auch OHNE Einfüllbehälter.Das ewige leiden:Die einen sagen so, die anderen so.Ich bin z.B. der Meinung, dass in jeder Verpackung solch ein Behälter sein sollte,Zunächst einmal variieren viele Waschmittel in der Menge die hinzugegeben werden sollte und nun benutze ich vielleicht einfach mal eine neue Marke oder ein komplett neues Produkt und HABE noch gar keinen Behälter.Ich kann nicht meinen ,, alten "" Behälter nehmen und diese benötigt am Ende dann deuuuuutlich mehr / weniger Waschmittel und die Wäsche wird nicht rein.Man kann natürlich unter der dort angegebenen Hotline jederzeit einen Becher bestellen, aber wenn ich einen Becher JETZT benötige, dann kann ich nicht 2 Tage lang einfach die Wäsche links liegen lassen.Geruch:Das Pulver riecht - wie bereits erwähnt - super frisch und auch nach mehreren Tagen offen stehen lassen, haben sich keine Fremdgerüche eingeschlichen.Hier ist absolut nichts auszusetzen und ich bin super zufrieden mit.Wirkung / Reinheit:Die Reinigung des Pulvers hat wirklich wahre Wunder bewirkt.Im Normalfall müsste ich harte Flecken erst einweichen, aber selbst starke und festsitzende Flecken werden sehr einfach beseitigt.Fazit:Für 24,36 € bekommt man hier eins der - derzeit - besten Waschmittel auf dem Markt.Ich würde mir - und selbstverständlich auch anderen Kunden - eine Schaufel wünschen, damit man umso effektiver damit arbeiten kann.Immerhin ist dort solch eine wunderbar gut aufgeführte Tabelle mit den jeweiligen Schmutzgraden und allem was man zu beachten hat aufgeführt, dass es schade wäre wenn hier verlorenes Potenzial verschwendet wird.Notfalls sollte der Händler auch die Schaufel als ,, Zusatzartikel "" hier bei Amazon mit auswählbar vermarkten, damit der Kunden VON SICH AUS vollkommen frei entscheiden kann, ob dieser eine Schaufel will oder nicht.Die Wirkung jedoch ist klasse und wir werden uns von der anderen Marke trennen und auf jeden Fall nun zu dieser Wechseln.Das Ariel Colorwaschmittel Pulver bekommt von mir verdiente 4/5* ( Den 5. * gibt es, wenn die Idee mit der Schaufel in zukünftige Verpackungen integriert ist.",0
"Mein Mann hat mir diese Kanne zum Geburtstag geschenkt. Ich arbeite auf dem Friedhof bzw im Blumenladen. Grad im Winter ist es dort echt kalt. In allen Thermoskannen, die ich bisher hatte, war nein Tee nach wenigen Stunden nur noch lauwarm bzw schon kalt.Nicht bei dieser!! Ich mache mir morgens um 5 meinen Tee und selbst abends ist der Rest noch richtig heiß!!Absolut auslaufsicher...uns unkaputtbar. Leider ist mir die Kanne auch schon mal runter gefallen, ist etwas verbeugt, aber heile.Ich kann diese Kanne nur empfehlen,  grad auch für Leute, die auch im Winter draußen arbeiten.Einige hier schrieben schon, dass der Trinkbecher leider nicht isoliert ist u heiß wird, das stimmt leider. Ist für mich aber kein Grund,  einen Stern abzuziehen, denn ich bin sind zu 100% zufrieden.Klare Kaufempfehlung 👍",0
"Der Becher ist der 2. im Haus.Heißes Wasser (tee) ist nach knapp 6 h trinkbar.Bedeutet , man verbrüht sich nach dieser Zeit nicht mehr den Mund ;) !Des Weiteren läuft nichts aus!!!! Anders als bei manch anderen Marken!Vorteil auch, egal von wo aus man aus dem Becher trinkt, kommt auch was raus. Man muss nicht aufpassen, ob man jetzt die richtige „Öffnung“ gefunden hat.Absolute kaufempfehlung!!!!Tolle Farben!",0
Die Qualität ist Top,0
"Wenn man einen guten Kaffeebecher Mächte, kann ich diesen nur empfehlen absolut Auslaufsicher.  Mein Sohn hat auch einen für die Schule, da kommt kakao rein. Der Becher ist auch absolut leicht zu reinigen",0
"Da hat man ne Menge Waschpulver,das sehr gut riecht und die Wäsche richtig schön sauber macht.Die Ware kam sehr schnell.",0
Absolut ihr Geld wert. Kein anderer Becher den wir bis jetzt gekauft haben hält so lange warm.Aufgebrühter Kaffe von morgens 7 Uhr war abends um 5 noch warm.,0
"Ich bin wirklich beeindruckt. Ich habe natürlich das Original von Thermos gekauft, Weil ich Schon seit Jahren immer wieder Isolierbecher heute die entweder nicht warm gehalten haben den Inhalt beim umfallen sofort verloren haben. Bei diesem Isolierbecher ist dies nicht so! Auch nach Stunden war mein Kaffee noch berührend heiß und Ich konnte ihn immer noch trinken. Beim Umstürzen des Bechers tropft nichts hinaus!Endlich mal ein Isolierbecher der seinen Namen alle Ehre macht. Deswegen sagt man wohl auch Thermoskanne und Thermosbecher!",0
Sehr gut und günstig,0
Tropft nicht und hält den Kaffee warm 👍,0
"Das Waschmittel selbst ist absolut klasse!- Wäscht sauber- Riecht sehr angenehm- Hinterlässt keine Rückstände auf Klamotten- Ist ergiebigDas Weißer Riese Intensivcolor Pulver braucht sich also in keinster Weise vor den großen P oder A verstecken.Der einzig negative ist für mich allerdings auch ein positiver Aspekt ➡ Der Preis!Und da sollte man genau hinsehen, denn ich erinnere mich noch an Zeiten, da konnte ich dieses Waschmittel für 8,99 € ergattern..... Allerdings war der Preis auch bereits auf knappen 25 €uronen oben, weshalb ich immer zwei Bestelle und hoffe dann damit durchzukommen bis ich es wieder für ca. 10,- € bestellen kann....Wer es noch nicht kennt und der Preis gerade passt, sollte es einfach mal bestellen. Eine Enttäuschung wirds 100%ig nicht..... Hui, das ist evtl. ein wenig arg weit aus dem Fenster gelehnt..... Sagen wir mal lieber, ich kann mir absolut nicht vorstellen, dass es jemand enttäuschen könnte😉.Hoffe mal die Kurve noch erwischt zu haben... Vier Sterne gibts und wenn der Preis mal etwas konstanter bleiben würde gäbe es auch alle fünf!",0
