text,label
nie wieder was anderes.  ist einfach so . waschergebnis total toll.,0
Einfach eine tolle Qualität. Kann ich jedem ans Herz legen der eine saubere und gut riechende Spülmaschine haben möchte,0
"Bin begeistert 😄 habe den Thermobecher (braun) sehr schöne dezente Farbe nun seit einigen Tagen in gebrauch und bin wirklich sehr zufrieden. Die Größe ist sehr handlich daher auch mal für die Jackentasche geeignet.Mit beiden Verschlüssen die absolut auslaufsicher sind( tolle Idee👍) . Gereinigt wird der Becher von Hand. Mit der Wärmeleistung ( das längste waren 3Std. )👍bei mir , bin ich auch super zufrieden. Werde  sicher noch weitere bestellen für die Familie und zum verschenken. Preisleistung finde ich daher top.👍👍👍",0
Das Produkt erfüllt meine Erwartungen,0
Sehr gute Reinigung,0
Bestens,0
Genial die Dinge r,0
... vor allem benötigt man nicht zusätzlich Salz und Klarspüler in der Maschine. Die Weingläser werden quietsch-sauber. Top Produkt und 5 Sterne absolut verdient!,0
"Die 6,5KG Verpackung wurde mir sicher verpackt und unbeschadet zugestellt, alle wichtigen Infos können der Verpackung entnommen werden. C. 100 Waschladungen  für aktuell 19,22 Euro bedeutet grob 19 Cent pro Ladung. Ich benutze als Alleinlebende lieber die Pods, mein Vater und dessen Familie ( 5 Personen ) haben sich dafür umso mehr darüber gefreut. Ariel wurde in dem Haushalt schon mehrfach benutzt und ist immer wieder gerne gesehen, auch die neue Rezeptur scheint eine zufriedenstellende Leistung zuerbringen.Die Wäsche ist tiefengepflegt, Flecken gehen raus ( Kinder spielen im Garten, matschen beim Essen ) alles kein Problem für dieses Waschmittel, es ist hautverträglich und chemisch riecht die Wäsche nach der Reinigung auch nicht. Die zu dosierende Menge wird auf der Verpackungsrückseite angegeben, je nach Wäschemenge usw. kann diese natürlich variieren. Sollte es noch zu Komplikationen kommen, werde ich das nachtragen.Wir bedanken uns",0
Schöner preiswerter Becher der tut was er soll,0
Er ist sehr griffig sehr gut festzuhalten Kaffee bleibt heiss,0
Wir haben inzwischen mehrere dieser Thermobecher. Im Großen und Ganzen sind wir sehr zufrieden.,0
"Was soll ich hier groß schreiben?Alles funktioniert bestens, die Pads machen gut sauber",0
"Als Primedeal gekauft, also alles richtig gemacht.  Reinigt das Geschirr absolut top.",0
"Macht genau das, was es soll. Sauberes Geschirr. Mit Salz und Klarspüler. Ohne Kalkrückstände!",0
