text,label
"Auch bei mir klemmt nach knapp 2 Monaten Benutzung der Deckel, schade, denn die Flasche gefällt mir grundsätzlich, und sie ist schön leicht. Leider muss ich die Flasche nun zurückschicken.",2
Nach langer Suche und ausprobieren endlich gefunden. Maximum an Sternen wirklich verdient.Top Produkt zu einem Top Preis,0
"Mir sagt dieses Waschmittel, Lenor Colorwaschmittel Pulver Goldene Orchidee, nicht zu, da der Geruch für meine Nase viel zu intensiv ist. Aber es gibt noch andere Details, die mich stören. Der Waschmittelkarton kommt in einem zu großen Karton. Der Waschmittelkarton selbst ist nur zu 2/3 gefüllt und der Messbecher ist nicht auffindbar in den Tiefen des Waschmittels verschwunden.Die Waschleistung selbst ist sehr gut. Das Waschmittel löst sich gut, hinterläßt keine Spuren.",1
"Der Bobicon Thermobecher Edelstahl 380ml - Kaffee & Tee Trinkbecher  ist gut verpackt und unbeschädigt bei mir angekommen.Der Becher macht einen gut verarbeiteten hochwertigen Eindruck.Mir gefällt der Becher vom Design her sehr gut. Er ist schlicht und sieht auch in dem Rot richtig edel aus.Einziges Manko, er lässt sich schwer auf- und zu drehen. Ansonsten hält er die Getränke lange warm oder kalt und man kann ihn gut reinigen.Es ist angenehm aus dem Becher zu trinken.Ein tolles Produkt, das ich gerne weiterempfehle.",1
Super Kaffeebecher für unterernährt und leicht zu reinigen.,2
"sieht schick aus, ist auch praktisch zum Mitnehmen - jedoch läuft mein Becher aus und deswegen bin ich nicht zufrieden.",0
"habe seit 3 Wochen die Pads, leider waren bisher mindestens 5 die sich nicht aufgelöst haben, sehr enttäuschendwerd wohl wieder zu No Name oder Restposten greifen, da war der Erfolg grösser.",1
"Optisch sehr schön und bis jetzt auch noch dicht, aber die Herstellerangabe „ ... Thermobecher hält die Temperatur stundenlang; Getränke bleiben bis zu 6 Stunden heiß ...“ kann ich so nicht bestätigen.Die Wärme geht recht schnell über den Deckel verloren.Für meine Zwecke (das Heißgetränk zeitnahe zu trinken) ist der Becher jedoch ausreichend.",0
Hält nicht dich und leider auch nicht warm.,2
Der Preis war sehr gut. In hoher Dosierung werden Flecken auch bei 40°C recht gut entfernt/gebleicht.,0
"Das Produkt hält, wenn ich vorher heißes Wasser für einige Zeit hineingebe und anschließend den Kaffee, wirklich sehr lange warm (länger als die 6h, die angegeben sind). Jedoch platzt die Farbe außen ab. Muss ehrlich sagen, ich habe sie in die Spülmaschine gegeben, stört mich jedoch nicht. Ich LIEBE diese Flasche, mein Freund ebenfalls. Wir wollen beide dieses Produkt nicht mehr missen. Ebenso möchte ich den Kundendienst loben! Sehr freundlich, schnelle Antwort. Wollt ihr ein gutes Produkt, welches hält, was es verspricht, kauft dieses!",1
Liebe den Thermobecher. Der ist super und hält lange warm.,0
"Die Flaschen sahen schön aus, aber waren aus Plastik. Ich glaube nicht, dass der Deckel lange hält. Daher gingen sie wieder zurück.",2
Kann ich nur empfehlen. Hält super warm und lange,0
