text,label
Weißer Riese Universal Pulver - wie gewohnt bestes Waschergebnis und im Angebot immer ein super Preis-/Leistungsverhältnis. Daher 5-Sterne für Ware und Versand.,0
"Wir nutzen die Thermobecher von Emsa seit Jahren, sie sind meiner Meinung nach die einzigen, die wirklich zu 100% dicht sind. Sie können auch im Rucksack liegen, es läuft nichts aus.Heiße Getränke werden sogar etwas länger als 4 Stunden warm gehalten.Der Becher lässt sich auch sehr einfach reinigen, der Deckel lässt durch drehen in zwei Teile zerlegen, so wird der Deckel auch bei Milchkaffee etc richtig sauber.Durch die gummierte Manchette rutscht der Becher nicht aus den Händen.Ich kann keinen Unterschied zum Vorgänger-Modell feststellen. Bei Bestellung kostete der Twist 34€ das finde ich recht teuer, das Vorgängermodell mit dem Schriftdesign bekommt man oft schon für 15€.",0
Ist ok. Hält aber leider nicht lange warm,2
Alles gut und sauber,1
"Wir konnten keinen Unterschied zu anderen Markenwaschmittel feststellen. Lediglich bei sehr niedrigen Temperaruren vertraut OHL auf ein anderes Produkt. Aber wohl eher aus Gewohnheit.Gemessen am Preis pro Waschladung ein sehr gutes Angebot, haben deswegen auch schon mehrfach bei Amazon das Produkt nachbestellt.",1
"Geschirr glänzt! keine Flecken, kein Glasschleier -kann nur empfehlen",2
"Ich habe die Tabs jetzt seit einem Monat in Gebrauch, es sind zwar keine 500 St. sondern nur 480, aber auf die 20 kann ich verzichten.Zuerst war meine Frau ja skeptisch was ich da wieder für einen Blödsinn gekauft habe, aber nach einem Monat ist davon keine Rede mehr.Die Teile tun das was sie tun sollen, sie reinigen das Geschirr und das ohne Rückstände oder sonstiges.Gesagt sei auch, das es hier andere Rezensionen gibt wo bemängelt wird das dass Geschirr milchig wird, na ja wer sich darauf verlässt das man angeblich kein Salz mehr für die Maschine benötigt, der sollte noch einmal zur Schule gehen.Das ein einziger Tag nicht die Funktion von Maschinensalz übernehmen kann sollte jedem klar sein und ehrlich wer da dann dennoch versucht 3 € zu sparen sollte sein Geschirr doch besser mit der Hand abwaschen.....spart sogar den Geschirrspüler....Ich bin rundum zufrieden und kann ehrlichen Gewissens sagen dass die S-O-M-A-T Tabs auch nicht besser sind.Ach ja, Bruch war nirgends dabei, obwohl die Teile von Deutschland nach Österreich geliefert wurden und somit sicher mehrmals umgeladen wurden, nicht einer ist beschädigt (hab ich festgestellt als ich sie gezählt habe).Meine Empfehlung da sie den teuren Produkten in nichts nachstehen!",0
"Optik, Material und Verarbeitung dieses Thermobechers haben mir sehr gefallen. Hier gibt es tatsächlich nichts zu meckern. Auch der Mechanismus zum öffnen und Schließen macht einen hochwertigen und vermutlich langlebigen Eindruck. Insoweit ist der relativ hohe Preis wohl gerechtfertigt. Leider ist der Thermobecher relativ hoch, so dass er weder bei unserem Kaffeevollautomaten, noch bei dem einer großen Bäckereikette unter den Auslauf passt. Da ich den Becher nutzen wollte um den Einwegbecherverbrauch und damit die Müllmenge zu senken, habe ich mich für die Rückgabe entschieden. Schade ! Daher leider 2 Sterne Abzug, weil dies für mich ein wesentlicher Punkt ist.",0
Macht was es soll und riecht für mich angenehm dezent.,0
Super Becher nur der untere Schutzdeckel fällt ab nach 5-6 mal abwaschen,0
"Gut verarbeitet,  hält aber die Wärme über den Arbeitstag nicht warm.",0
"Wir nutzen die Tabs schon lange und sind mit der Leistung zufrieden, für uns die beste Wahl mit Reinigungskraft und Preis. Hier war das Angebot besonders günstig und wir haben so gleich einen etwas größeren Vorrat davon.",0
Schöner Glanz - mein Kaffee ist nun toll verpackt - Empfehlung !!! 1A. trinken kann man gut daraus und die Bedienung is super einfach.,2
"Die Spülmaschinentabs kamen unversehrt und gut verpackt bei uns an.Wir benutzen immer mal wieder Somat im Wechsel mit anderen Herstellern. Mit Somat haben wir aber bislang keine schlechten Erfahrungen gemacht und können die Marke nur empfehlen.Als diese Somattabs bei uns ankamen, musste ich doch sehr schmunzeln. Die Verpackung ist sehr klein und nicht so wuchtig wie gewohnt von den Pappkartons oder Polybags. In einer kleinen, handlichen Pappschachtel finden 35 Tabs schön geordnet Platz. Für die Umwelt ist dies ein grosses Plus, aber auch für den Platz im Schrank/Schublade.Die Reinigungskraft ist spitze und ich kann dieses Produkt nur empfehlen.",2
Riecht mega gut macht die wasche  gut sauber .,2
Gute Qualität zu kleinen Preis! Gut verpackt so das man auch mal ein Beutel mit in den Urlaub mitnehmen kann. Prima!,2
"Es gibt viele Thermobecher,  aber dieser sticht allein schon durch seinen Namen und Aussehen heraus. Das war auch der Punkt warum ich diesen kaufte.Er ist top verarbeitet,  sieht schlicht und elegant aus, und erfüllt seinen Zweck.  Ich befülle ihn früh und er hält bis in den Nachmittag hinein eine ordentliche Wärme für meinen Kaffee.Einzig kleiner Minuspunkt ist der schwer abzulösende Aufkleber der bei der Lieferung noch daran klebt. Ich kann ihn nur weiter empfehlen",2
Farbe ein Traum. Größe hat mich überrascht. Getränk bleibt sehr lange heiß. Gewicht beeindruckend. Ist dicht. Henkel für mich unhandlich. Passt nicht in die Außentasche meines Rucksackes da doch voluminöser als angenommen. Guter Kauf.,0
"Bislang der beste Thermobecher, den ich besessen habe. Tropft nicht, hält sehr gut warm!",1
Ich liebe diesen Becher 😊!Dieser Becher ist bei mir im Büro eingezogen. Er lässt sich komplett zerlegen und in die Spülmaschine packen. Hält Getränke kalt oder warm und hat einen einfach aber wirkungsvollen Verschluss.Drückt man drauf ist er zu und drückt man nochmal ist er auf. Was so toll an dem Becher ist er hat einen geregelten Auslass. Also egal wie schnell oder hoch man den Becher am Mund hoch führt es kommt immer nur eine geringe (aber ausreichende) Menge aus dem Auslass. Das Mundgefühl ist auch super und wie gesagt warm / kalt Eigenschaft ist sehr gut !Bin begeistert – bisherige Thermo Becher waren entweder immer undicht oder hatten keine guten Thermoeigenschaften und bisher keiner einen geregelten Auslass.Design ist auch tip top und der Preis ~20 geht voll in Ordnung !,0
Preis Leistung super. Waschmittel reinigt die Wäsche und riecht gut.,0
Bis zu 2 1/2 Tassen passen rein. Selbst nach 3 Std. Verbrennt man sich noch die Zunge so warm hält es. Ich bin voll begeistert vom dem Produkt.,2
Bin ganz zu Frieden.,1
Die super günstige Alternative zu Tabs u. Pulver. Einfach mit der Verschlusskappe zu dosieren. Kein Kleckern. Reinigungsleistung jedem Tab und Pulver ebenbürtig wenn nicht sogar besser. Preislich sowieso über jeden Zweifel erhaben. Verwende nur mehr das Gel! Vergesst AllInOne Tabs. Die killen eure Maschine!,1
"Habe das Produkt bereits das zweite Mal bestellt weil die Preis Leistung einfach stimmt. Das einzige was an dem ganzen als Bruchware durchgehen kann ist, dass die Verpackung oft ohne Schere schlecht zu öffnen sind.",0
Hat uns gute Dienste am Strand geliefert. Getränke waren länger kalt und noch dazu nachhaltig 👍,0
"Der Thermobecher hält was er verspricht. Warme Getränke bleiben langanhaltend warm. Einziges Manko, die Farbe hat nach ca. 6 Monaten angefangen abzublättern. Ist optisch natürlich nicht so schön,funktional aber weiterhin Top! Wer mit dem Farbverlust leben kann, bekommt von mir eine klare Kaufempfehlung",0
Klasse Produkt riecht angenehm reinigt sehr gut auch im kurz Programm.,1
Mein benötigt für eine Waschladung 2 Pods. Den Duft finde ich angenehm. Leider lösen sich die Pods nur teilweise auf. Das finde ich nicht so toll und werde in Zukunft wieder andere Pods nutzen.,1
"Der becher ist super, er hält sehr lange warm also 4 Stunde kein Problem.Ausgelaufen ist noch kein einziger Tropfen und perfekt für unterwegs.Kälte Getränke hab ich noch nicht getestet.Der Becher wird täglich benutzt und ich kann ihn aufjedefall weiter empfehlen.",2
Getränk ist zur Mittagspause lauwarm. Getränk zubereitet um 5 Uhr morgens und Mittagspause ist um 11 Uhr. Design und Auslaufschutz sind optimal aber hält über einen längeren Zeitraum Getränke nicht heiß und auch nicht warm.,2
Sieht genau so aus wie auf den Bildern. Es hält wirklich dicht! (ich habe darin Kaffee transportiert und auch mal Wasser darin befüllt und kopfüber gestellt - nichts ausgelaufen!)Kann ich nur weiterempfehlen :),1
"Der Becher ist stabil, dicht und hält die Getränke entsprechend lange warm - so wie erwartet von diesem Markenprodukt. Die Kühlleistung wurde bislang nicht getestet, da wir den Kaffee und Tee warm trinken.Durch die Gummierung auch sicher in der Hand zu halten.Klare Empfehlung von uns.",0
"Wer sich vormittags frischen Kaffee in den Becher füllt muss auch abends noch aufpassen, dass er sich nicht verbrennt. Ich hatte vorher viele andere Warmhaltebecher, hätte ich direkt diesen hier gekauft hätte ich sogar noch 30€ weniger ausgegeben als für meine vorherigen Becher. Es lohnt sich auf jeden Fall!",2
dazu muss man nicht viel sagen für diesen Preis ist dieses waschmittel nicht zu toppen und die Wäsche duftet auch noch gut und wird super sauber weiß,1
"Eig gut, dennoch braucht man noch Klarspüler und Salz dazu",0
Wäscht sehr gut und ist schnell angekommen.,0
"Ich habe das 0,47 l Modell seit 4 Jahren. Und sie hält im voll befüllten Zustand,  Flüssigkeit 12 h locker heiss. Wird Flüssigkeit entnommen sinkt diese Zeit jedoch.Stabilität ist bei dieser Edelstahlkanne kein Thema. Im liegenden Zustand bis 400 Kilo. Ist mir unter ne Palette gerollt, die dann darauf abgestellt wurde.",1
Ist in Ordnung,0
